station,t,price,load,grid_energy,charge,discharge,soc_end,mode,slot_cost,groundtruth_load,penalty_rate,diff,penalty_cost,realized_slot_cost
12165-0,25,46.87,137.40756,137.40756,0.0,0.0,16.5,0,6440.2923372,138.2238863265885,1171.75,-0.8163263265885234,956.5303731801023,7396.822710380102
12165-0,26,37.61,137.5444,142.5444,5.0,0.0,21.25,1,5361.094884,138.27331986966576,940.25,-0.7289198696657593,685.3669074532302,6046.46179145323
12165-0,27,37.61,138.04692,143.04692,5.0,0.0,26.0,1,5379.9946612,138.26886907046912,940.25,-0.2219490704691225,208.68761350859242,5588.682274708593
12165-0,28,36.81,137.38933,142.38933,5.0,0.0,30.75,1,5241.3512373,138.25792010444542,920.25,-0.868590104445417,799.320043615895,6040.671280915895
12165-0,29,36.81,137.90059,142.90059,5.0,0.0,35.5,1,5260.1707179,138.2524752934282,920.25,-0.35188529342821084,323.82244127731104,5583.993159177311
12165-0,30,41.79,137.47752,142.47752,5.0,0.0,40.25,1,5954.135560799999,138.24050264358928,1044.75,-0.7629826435892824,797.1261168899027,6751.261677689902
12165-0,31,41.79,137.62675,142.62675,5.0,0.0,45.0,1,5960.3718825,138.1844670817037,1044.75,-0.5577170817037143,582.6749211099554,6543.0468036099555
12165-0,32,61.1,137.43901,132.43901,0.0,5.0,39.73684210526316,0,8092.023511,138.1715152560415,1527.5,-0.7325052560414917,1118.9017786033787,9210.92528960338
12165-0,33,61.1,137.84354,132.84354,0.0,5.0,34.473684210526315,0,8116.740293999999,138.22163125499557,1527.5,-0.3780912549955815,577.5343920057508,8694.27468600575
12165-0,34,72.57,137.62683,132.62683,0.0,5.0,29.210526315789473,0,9624.7290531,138.26109500787234,1814.2499999999998,-0.6342650078723295,1150.7152905323737,10775.444343632375
12165-0,35,72.57,137.69028,132.69028,0.0,5.0,23.94736842105263,0,9629.3336196,138.2381585560124,1814.2499999999998,-0.5478785560123924,993.9886702454828,10623.322289845482
12165-0,36,54.68,137.56917,132.56917,0.0,5.0,18.684210526315788,0,7248.882215600001,138.19624686357744,1367.0,-0.6270768635774289,857.2140725103452,8106.096288110346
12165-0,37,54.68,137.66495,137.51495,0.0,0.15,18.526315789473685,0,7519.3174659999995,138.23928609180885,1367.0,-0.5743360918088456,785.1174375026919,8304.434903502692
12165-0,38,56.28,137.45331,132.45331,0.0,5.0,13.263157894736842,0,7454.4722868,138.2587805922901,1407.0,-0.8054705922901064,1133.2971233521798,8587.76941015218
12165-0,39,56.28,137.7443,132.7443,0.0,5.0,8.0,0,7470.849204000001,138.1935318760675,1407.0,-0.4492318760675005,632.0692496269731,8102.918453626974
12165-0,40,46.65,137.93466,137.93466,0.0,0.0,8.0,0,6434.651889,138.18280545000363,1166.25,-0.24814545000361932,289.39963106672104,6724.0515200667205
12165-0,41,46.65,137.47273,141.18464135734072,3.711911357340721,0.0,11.526315789473685,1,6586.263519319945,138.13914310988466,1166.25,-0.666413109884644,777.2042894029661,7363.467808722911
12165-0,42,43.66,137.5996,142.5996,5.0,0.0,16.276315789473685,1,6225.898536,138.25295004534252,1091.5,-0.6533500453425063,713.1315744913456,6939.030110491345
12165-0,43,43.66,138.062,143.062,5.0,0.0,21.026315789473685,1,6246.08692,138.2144061242997,1091.5,-0.15240612429968792,166.35128467310938,6412.438204673109
