station,t,price,load,renewable_available,renewable_to_load,renewable_to_battery,grid_energy,grid_to_battery,discharge,soc_end,curtailed_renewable,mode,grid_cost,curtailment_cost,slot_cost,groundtruth_load,shortage_penalty_rate,surplus_penalty_rate,diff,shortage_penalty_cost,surplus_penalty_cost,penalty_cost,realized_slot_cost
12165-0,21,54.51,138.12703,0.744,0.744,0.0,132.38303,0.0,5.0,23.94736842105263,0.0,0,7216.198965299999,0.0,7216.198965299999,138.1964990755319,1362.75,300.0,-0.06946907553191295,94.66898268111437,0.0,94.66898268111437,7310.8679479811135
12165-0,22,51.65,137.93011,0.791,0.791,0.0,135.06411000000003,0.0,2.0749999999999984,21.763157894736842,0.0,0,6976.061281500001,0.0,6976.061281500001,138.22304067474116,1291.25,300.0,-0.2929306747411431,378.246733759501,0.0,378.246733759501,7354.308015259502
12165-0,23,51.65,137.83377,0.791,0.791,0.0,132.04277,0.0,5.0,16.5,0.0,0,6820.009070499999,0.0,6820.009070499999,138.1791706306597,1291.25,300.0,-0.34540063065972504,445.99856433937,0.0,445.99856433937,7266.0076348393695
12165-0,24,46.87,137.23721,0.78,0.78,0.0,136.45721,0.0,0.0,16.5,0.0,0,6395.7494326999995,0.0,6395.7494326999995,138.26351327543586,1171.75,300.0,-1.0263032754358505,1202.570862991958,0.0,1202.570862991958,7598.320295691958
12165-0,25,46.87,137.40756,0.78,0.78,0.0,136.62756,0.0,0.0,16.5,0.0,0,6403.733737199999,0.0,6403.733737199999,138.2238863265885,1171.75,300.0,-0.8163263265885234,956.5303731801023,0.0,956.5303731801023,7360.264110380102
12165-0,26,37.61,137.5444,0.71,0.71,0.0,141.8344,5.0,0.0,21.25,0.0,1,5334.3917839999995,0.0,5334.3917839999995,138.27331986966576,940.25,300.0,-0.7289198696657593,685.3669074532302,0.0,685.3669074532302,6019.758691453229
12165-0,27,37.61,138.04692,0.71,0.71,0.0,142.33692,5.0,0.0,26.0,0.0,1,5353.2915612,0.0,5353.2915612,138.26886907046912,940.25,300.0,-0.2219490704691225,208.68761350859242,0.0,208.68761350859242,5561.979174708592
12165-0,28,36.81,137.38933,0.575,0.575,0.0,141.81433,5.0,0.0,30.75,0.0,1,5220.185487300001,0.0,5220.185487300001,138.25792010444542,920.25,300.0,-0.868590104445417,799.320043615895,0.0,799.320043615895,6019.505530915896
12165-0,29,36.81,137.90059,0.575,0.575,0.0,142.32559,5.0,0.0,35.5,0.0,1,5239.0049679,0.0,5239.0049679,138.2524752934282,920.25,300.0,-0.35188529342821084,323.82244127731104,0.0,323.82244127731104,5562.827409177311
12165-0,30,41.79,137.47752,0.363,0.363,0.0,142.11452,5.0,0.0,40.25,0.0,1,5938.9657908,0.0,5938.9657908,138.24050264358928,1044.75,300.0,-0.7629826435892824,797.1261168899027,0.0,797.1261168899027,6736.091907689903
12165-0,31,41.79,137.62675,0.363,0.363,0.0,142.26375,5.0,0.0,45.0,0.0,1,5945.202112499999,0.0,5945.202112499999,138.1844670817037,1044.75,300.0,-0.5577170817037143,582.6749211099554,0.0,582.6749211099554,6527.877033609955
12165-0,32,61.1,137.43901,0.094,0.094,0.0,132.34501,0.0,5.0,39.73684210526316,0.0,0,8086.280111,0.0,8086.280111,138.1715152560415,1527.5,300.0,-0.7325052560414917,1118.9017786033787,0.0,1118.9017786033787,9205.181889603378
12165-0,33,61.1,137.84354,0.094,0.094,0.0,132.74954,0.0,5.0,34.473684210526315,0.0,0,8110.996894,0.0,8110.996894,138.22163125499557,1527.5,300.0,-0.3780912549955815,577.5343920057508,0.0,577.5343920057508,8688.531286005751
12165-0,34,72.57,137.62683,0.0,0.0,0.0,132.62683,0.0,5.0,29.210526315789473,0.0,0,9624.7290531,0.0,9624.7290531,138.26109500787234,1814.2499999999998,300.0,-0.6342650078723295,1150.7152905323737,0.0,1150.7152905323737,10775.444343632375
12165-0,35,72.57,137.69028,0.0,0.0,0.0,132.69028,0.0,5.0,23.94736842105263,0.0,0,9629.3336196,0.0,9629.3336196,138.2381585560124,1814.2499999999998,300.0,-0.5478785560123924,993.9886702454828,0.0,993.9886702454828,10623.322289845482
12165-0,36,54.68,137.56917,0.0,0.0,0.0,132.56917,0.0,5.0,18.684210526315788,0.0,0,7248.882215600001,0.0,7248.882215600001,138.19624686357744,1367.0,300.0,-0.6270768635774289,857.2140725103452,0.0,857.2140725103452,8106.096288110346
12165-0,37,54.68,137.66495,0.0,0.0,0.0,137.51495,0.0,0.15,18.526315789473685,0.0,0,7519.3174659999995,0.0,7519.3174659999995,138.23928609180885,1367.0,300.0,-0.5743360918088456,785.1174375026919,0.0,785.1174375026919,8304.434903502692
12165-0,38,56.28,137.45331,0.0,0.0,0.0,132.45331,0.0,5.0,13.263157894736842,0.0,0,7454.4722868,0.0,7454.4722868,138.2587805922901,1407.0,300.0,-0.8054705922901064,1133.2971233521798,0.0,1133.2971233521798,8587.76941015218
12165-0,39,56.28,137.7443,0.0,0.0,0.0,132.7443,0.0,5.0,8.0,0.0,0,7470.849204000001,0.0,7470.849204000001,138.1935318760675,1407.0,300.0,-0.4492318760675005,632.0692496269731,0.0,632.0692496269731,8102.918453626974
12165-0,40,46.65,137.93466,0.0,0.0,0.0,137.93466,0.0,0.0,8.0,0.0,0,6434.651889,0.0,6434.651889,138.18280545000363,1166.25,300.0,-0.24814545000361932,289.39963106672104,0.0,289.39963106672104,6724.0515200667205
12165-0,41,46.65,137.47273,0.0,0.0,0.0,141.18464135734072,3.711911357340721,0.0,11.526315789473685,0.0,1,6586.263519319945,0.0,6586.263519319945,138.13914310988466,1166.25,300.0,-0.666413109884644,777.2042894029661,0.0,777.2042894029661,7363.467808722911
12165-0,42,43.66,137.5996,0.0,0.0,0.0,142.5996,5.0,0.0,16.276315789473685,0.0,1,6225.898536,0.0,6225.898536,138.25295004534252,1091.5,300.0,-0.6533500453425063,713.1315744913456,0.0,713.1315744913456,6939.030110491345
